step,loss_mean,loss_std,log10_loss_mean,log10_loss_std,qy_mean,qy_std,loss_replica_1,loss_replica_2,loss_replica_3,loss_replica_4,loss_replica_5,qy_replica_1,qy_replica_2,qy_replica_3,qy_replica_4,qy_replica_5
64,9.9933139086e-01,4.5538065267e-03,-2.9498673665e-04,1.9814229887e-03,6.7318642139e-01,3.5821960347e-03,9.9230718613e-01,1.0035017729e+00,1.0031731129e+00,9.9554294348e-01,1.0021319389e+00,6.7364597321e-01,6.7466765642e-01,6.7802828550e-01,6.6702836752e-01,6.7256182432e-01
65,9.9935820103e-01,4.5537467426e-03,-2.8333523345e-04,1.9813438607e-03,6.9739737511e-01,3.6195348490e-03,9.9233394861e-01,1.0035287142e+00,1.0031995773e+00,9.9557000399e-01,1.0021587610e+00,6.9785749912e-01,6.9873821735e-01,7.0243686438e-01,6.9126576185e-01,6.9668853283e-01
66,9.9938286543e-01,4.5537231890e-03,-2.7261660335e-04,1.9812847349e-03,7.2116757631e-01,3.6522401050e-03,9.9235856533e-01,1.0035536289e+00,1.0032237768e+00,9.9559479952e-01,1.0021835566e+00,7.2163856030e-01,7.2236746550e-01,7.2639155388e-01,7.1507692337e-01,7.2036337852e-01
67,9.9940532446e-01,4.5536313929e-03,-2.6285647212e-04,1.9812003133e-03,7.4443442822e-01,3.6805165603e-03,9.9238103628e-01,1.0035761595e+00,1.0032458305e+00,9.9561750889e-01,1.0022060871e+00,7.4492681026e-01,7.4549388885e-01,7.4982935190e-01,7.3839861155e-01,7.4352347851e-01
68,9.9942569733e-01,4.5535147501e-03,-2.5400305826e-04,1.9811091761e-03,7.6714274883e-01,3.7045665041e-03,9.9240148067e-01,1.0035966635e+00,1.0032657385e+00,9.9563813210e-01,1.0022264719e+00,7.6766657829e-01,7.6806354523e-01,7.7269446850e-01,7.6117467880e-01,7.6611447334e-01
69,9.9944401979e-01,4.5534535822e-03,-2.4604092566e-04,1.9810463984e-03,7.8924516439e-01,3.7248914480e-03,9.9241966009e-01,1.0036152601e+00,1.0032835007e+00,9.9565684795e-01,1.0022448301e+00,7.8981024027e-01,7.9002970457e-01,7.9493981600e-01,7.8335666656e-01,7.8808939457e-01
70,9.9946038723e-01,4.5533662968e-03,-2.3892842199e-04,1.9809760459e-03,8.1070201397e-01,3.7417543872e-03,9.9243605137e-01,1.0036317110e+00,1.0032993555e+00,9.9567341805e-01,1.0022614002e+00,8.1131732464e-01,8.1135368347e-01,8.1652563810e-01,8.0490422249e-01,8.0940920115e-01
71,9.9947496653e-01,4.5533031533e-03,-2.3259308532e-04,1.9809198097e-03,8.3148159981e-01,3.7558164704e-03,9.9245053530e-01,1.0036464930e+00,1.0033134222e+00,9.9568831921e-01,1.0022760630e+00,8.3215504885e-01,8.3200442791e-01,8.3742100000e-01,8.2578438520e-01,8.3004313707e-01
72,9.9948769808e-01,4.5532080003e-03,-2.2706066988e-04,1.9808533061e-03,8.5155965090e-01,3.7675341527e-03,9.9246323109e-01,1.0036593676e+00,1.0033255816e+00,9.9570137262e-01,1.0022889376e+00,8.5229796171e-01,8.5195809603e-01,8.5760223866e-01,8.4597206116e-01,8.4996789694e-01
73,9.9949872494e-01,4.5531523862e-03,-2.2226912833e-04,1.9808074661e-03,8.7091919184e-01,3.7775814468e-03,9.9247413874e-01,1.0036704540e+00,1.0033360720e+00,9.9571269751e-01,1.0023002625e+00,8.7172776461e-01,8.7119764090e-01,8.7705367804e-01,8.6544936895e-01,8.6916750669e-01
