step,loss_mean,loss_std,log10_loss_mean,log10_loss_std,mse_mean,mse_std,loss_replica_1,loss_replica_2,loss_replica_3,mse_replica_1,mse_replica_2,mse_replica_3
63,1.0964090495e+04,1.2546055653e+02,4.0399441993e+00,4.9668283621e-03,2.7410226176e-04,3.1365145914e-06,1.1122128906e+04,1.0815225586e+04,1.0954916992e+04,2.7805322316e-04,2.7038063854e-04,2.7387292357e-04
64,1.0189050130e+04,1.1952601556e+02,4.0081038304e+00,5.0928946066e-03,2.5472625081e-04,2.9881473277e-06,1.0338205078e+04,1.0045593750e+04,1.0183351562e+04,2.5845511118e-04,2.5113983429e-04,2.5458380696e-04
65,9.4716217448e+03,1.1386326266e+02,3.9763929697e+00,5.2202220549e-03,2.3679054963e-04,2.8465744078e-06,9.6123642578e+03,9.3334941406e+03,9.4690068359e+03,2.4030910572e-04,2.3333737045e-04,2.3672517273e-04
66,8.8071389974e+03,1.0848999581e+02,3.9448018964e+00,5.3502532050e-03,2.2017847611e-04,2.7122580077e-06,8.9400371094e+03,8.6742919922e+03,8.8070878906e+03,2.2350094514e-04,2.1685729735e-04,2.2017718584e-04
67,8.1914319661e+03,1.0335070207e+02,3.9133252485e+00,5.4810154439e-03,2.0478579487e-04,2.5837626725e-06,8.3169375000e+03,8.0638076172e+03,8.1935507812e+03,2.0792342548e-04,2.0159519045e-04,2.0483876870e-04
68,7.6207918294e+03,9.8465825554e+01,3.8819638229e+00,5.6141907308e-03,1.9051979568e-04,2.4616398374e-06,7.7392646484e+03,7.4981801758e+03,7.6249306641e+03,1.9348161004e-04,1.8745451234e-04,1.9062326464e-04
69,7.0916160482e+03,9.3834868419e+01,3.8507071599e+00,5.7505727831e-03,1.7729039731e-04,2.3458690194e-06,7.2035371094e+03,6.9739082031e+03,7.0974028320e+03,1.8008842017e-04,1.7434770416e-04,1.7743506760e-04
70,6.6008159180e+03,8.9360922782e+01,3.8195577756e+00,5.8847889333e-03,1.6502039701e-04,2.2340168411e-06,6.7065019531e+03,6.4879653320e+03,6.6079804688e+03,1.6766253975e-04,1.6219913960e-04,1.6519951168e-04
71,6.1453909505e+03,8.5128842205e+01,3.7885077854e+00,6.0228284555e-03,1.5363477481e-04,2.1282168188e-06,6.2451962891e+03,6.0371826172e+03,6.1537939453e+03,1.5612989955e-04,1.5092956892e-04,1.5384485596e-04
72,5.7226759440e+03,8.1123855368e+01,3.7575554398e+00,6.1646807428e-03,1.4306689748e-04,2.0280944282e-06,5.8170175781e+03,5.6189687500e+03,5.7320415039e+03,1.4542543795e-04,1.4047422155e-04,1.4330103295e-04
73,5.3302275391e+03,7.7279589953e+01,3.7267000104e+00,6.3062205073e-03,1.3325569065e-04,1.9319904866e-06,5.4193706055e+03,5.2308989258e+03,5.3404130859e+03,1.3548426796e-04,1.3077247422e-04,1.3351032976e-04
74,4.9656704102e+03,7.3575408430e+01,3.6959301078e+00,6.4460437434e-03,1.2414175823e-04,1.8393867817e-06,5.0498637695e+03,4.8706245117e+03,4.9765229492e+03,1.2624659576e-04,1.2176560995e-04,1.2441306899e-04
75,4.6270384115e+03,7.0073452287e+01,3.6652531733e+00,6.5898217915e-03,1.1567596569e-04,1.7518355879e-06,4.7066279297e+03,4.5361108398e+03,4.6383764648e+03,1.1766570242e-04,1.1340277706e-04,1.1595941760e-04
76,4.3122763672e+03,6.6766281032e+01,3.6346543841e+00,6.7384423523e-03,1.0780691082e-04,1.6691568135e-06,4.3875507812e+03,4.2252739258e+03,4.3240043945e+03,1.0968877177e-04,1.0563185060e-04,1.0810011008e-04
77,4.0197049154e+03,6.3518519292e+01,3.6041397838e+00,6.8785784216e-03,1.0049262346e-04,1.5879632247e-06,4.0908027344e+03,3.9366088867e+03,4.0317031250e+03,1.0227006715e-04,9.8415221146e-05,1.0079258209e-04
78,3.7476722819e+03,6.0494163832e+01,3.5737048364e+00,7.0280101388e-03,9.3691807706e-05,1.5123548498e-06,3.8148796387e+03,3.6682243652e+03,3.7599128418e+03,9.5371993666e-05,9.1705609520e-05,9.3997819931e-05
79,3.4946533203e+03,5.7586191641e+01,3.5433449216e+00,7.1759153826e-03,8.7366335113e-05,1.4396575254e-06,3.5581965332e+03,3.4187687988e+03,3.5069946289e+03,8.8954919192e-05,8.5469218902e-05,8.7674867245e-05
80,3.2592676595e+03,5.4818641161e+01,3.5130583601e+00,7.3257825033e-03,8.1481690965e-05,1.3704658584e-06,3.3193530273e+03,3.1867993164e+03,3.2716506348e+03,8.2983824541e-05,7.9669982370e-05,8.1791265984e-05
81,3.0402638346e+03,5.2149150531e+01,3.4828471200e+00,7.4724718892e-03,7.6006598344e-05,1.3037302172e-06,3.0970429688e+03,2.9711140137e+03,3.0526345215e+03,7.7426077041e-05,7.4277850217e-05,7.6315867773e-05
82,2.8363999023e+03,4.9627239170e+01,3.4527006948e+00,7.6236362341e-03,7.0909998612e-05,1.2406829100e-06,2.8900917969e+03,2.7704108887e+03,2.8486970215e+03,7.2252296377e-05,6.9260269811e-05,7.1217429650e-05
83,2.6465771484e+03,4.7206230278e+01,3.4226151524e+00,7.7733276304e-03,6.6164429882e-05,1.1801572434e-06,2.6973193359e+03,2.5836352539e+03,2.6587768555e+03,6.7432985816e-05,6.4590880356e-05,6.6469423473e-05
84,2.4698855794e+03,4.4913691840e+01,3.3926046774e+00,7.9263866577e-03,6.1747139019e-05,1.1228409026e-06,2.5178676758e+03,2.4098508301e+03,2.4819382324e+03,6.2946688558e-05,6.0246271460e-05,6.2048457039e-05
85,2.3053020020e+03,4.2715425878e+01,3.3626528914e+00,8.0780444516e-03,5.7632552246e-05,1.0678850509e-06,2.3506865234e+03,2.2480830078e+03,2.3171364746e+03,5.8767167502e-05,5.6202079577e-05,5.7928409660e-05
86,2.1519724121e+03,4.0620079861e+01,3.3327589150e+00,8.2306496397e-03,5.3799309777e-05,1.0154996358e-06,2.1948735352e+03,2.0974370117e+03,2.1636066895e+03,5.4871834436e-05,5.2435927500e-05,5.4090167396e-05
87,2.0091387533e+03,3.8618713512e+01,3.3029292501e+00,8.3829841129e-03,5.0228468657e-05,9.6546957697e-07,2.0496850586e+03,1.9571779785e+03,2.0205532227e+03,5.1242128393e-05,4.8929447075e-05,5.0513830502e-05
88,1.8759953206e+03,3.6725132530e+01,3.2731480447e+00,8.5392102241e-03,4.6899882970e-05,9.1812917785e-07,1.9143588867e+03,1.8264938965e+03,1.8871331787e+03,4.7858971811e-05,4.5662345656e-05,4.7178331442e-05
89,1.7518988851e+03,3.4898542427e+01,3.2434223410e+00,8.6908673976e-03,4.3797472851e-05,8.7246414320e-07,1.7881513672e+03,1.7047695312e+03,1.7627757568e+03,4.4703785534e-05,4.2619238229e-05,4.4069394789e-05
90,1.6362199300e+03,3.3177864382e+01,3.2137518281e+00,8.8481248176e-03,4.0905499191e-05,8.2944738036e-07,1.6704970703e+03,1.5913331299e+03,1.6468295898e+03,4.1762428737e-05,3.9783328248e-05,4.1170740587e-05
91,1.5283850911e+03,3.1520228592e+01,3.1841398281e+00,9.0006719011e-03,3.8209627140e-05,7.8800609712e-07,1.5607934570e+03,1.4856750488e+03,1.5386867676e+03,3.9019836549e-05,3.7141875509e-05,3.8467169361e-05
92,1.4278074544e+03,2.9964984152e+01,3.1545733523e+00,9.1608978156e-03,3.5695187156e-05,7.4912417849e-07,1.4584727783e+03,1.3871453857e+03,1.4378041992e+03,3.6461820855e-05,3.4678636439e-05,3.5945104173e-05
93,1.3339795329e+03,2.8478092569e+01,3.1250495034e+00,9.3203917255e-03,3.3349487542e-05,7.1195168372e-07,1.3629743652e+03,1.2952751465e+03,1.3436890869e+03,3.4074357245e-05,3.2381878555e-05,3.3592226828e-05
94,1.2464571126e+03,2.7045133499e+01,3.0955743643e+00,9.4745840017e-03,3.1161428221e-05,6.7612999686e-07,1.2738592529e+03,1.2096475830e+03,1.2558645020e+03,3.1846484490e-05,3.0241188142e-05,3.1396612030e-05
95,1.1648024495e+03,2.5688575704e+01,3.0661458642e+00,9.6318713294e-03,2.9120061906e-05,6.4221463494e-07,1.1907125244e+03,1.1297939453e+03,1.1739008789e+03,2.9767814340e-05,2.8244849091e-05,2.9347522286e-05
96,1.0886118164e+03,2.4392232766e+01,3.0367631767e+00,9.7876057860e-03,2.7215295631e-05,6.0980482836e-07,1.1131014404e+03,1.0553273926e+03,1.0974066162e+03,2.7827534723e-05,2.6383186196e-05,2.7435165975e-05
97,1.0175254924e+03,2.3172202108e+01,3.0074317825e+00,9.9493737303e-03,2.5438138133e-05,5.7930511969e-07,1.0406872559e+03,9.8586785889e+02,1.0260213623e+03,2.6017181881e-05,2.4646697057e-05,2.5650535463e-05
98,9.5114524333e+02,2.2004931110e+01,2.9781296602e+00,1.0109213109e-02,2.3778630445e-05,5.5012320996e-07,9.7305853271e+02,9.2105273438e+02,9.5932446289e+02,2.4326462153e-05,2.3026317649e-05,2.3983111532e-05
99,8.8918526204e+02,2.0891212865e+01,2.9488713751e+00,1.0268222274e-02,2.2229631819e-05,5.2228062351e-07,9.0988598633e+02,8.6057910156e+02,8.9709069824e+02,2.2747150069e-05,2.1514477339e-05,2.2427268050e-05
100,8.3134236654e+02,1.9828270415e+01,2.9196553126e+00,1.0425602617e-02,2.0783559497e-05,4.9570660024e-07,8.5091149902e+02,8.0416448975e+02,8.3895111084e+02,2.1272788217e-05,2.0104112991e-05,2.0973777282e-05
101,7.7732250977e+02,1.8827781034e+01,2.8904727122e+00,1.0589420532e-02,1.9433062941e-05,4.7069480098e-07,7.9582086182e+02,7.5148760986e+02,7.8465905762e+02,1.9895522200e-05,1.8787190129e-05,1.9616476493e-05
102,7.2687017822e+02,1.7856932318e+01,2.8613245990e+00,1.0742103124e-02,1.8171753860e-05,4.4642386963e-07,7.4436108398e+02,7.0234954834e+02,7.3389990234e+02,1.8609027393e-05,1.7558737454e-05,1.8347496734e-05
103,6.7974513753e+02,1.6956195942e+01,2.8322097222e+00,1.0909415155e-02,1.6993628378e-05,4.2390504468e-07,6.9627874756e+02,6.5643676758e+02,6.8651989746e+02,1.7406968254e-05,1.6410918761e-05,1.7162998120e-05
104,6.3574499512e+02,1.6086650866e+01,2.8031425828e+00,1.1068003689e-02,1.5893624853e-05,4.0216680019e-07,6.5138250732e+02,6.1361639404e+02,6.4223608398e+02,1.6284562662e-05,1.5340408936e-05,1.6055902961e-05
105,5.9462559001e+02,1.5263882707e+01,2.7740991055e+00,1.1229974489e-02,1.4865639666e-05,3.8159736241e-07,6.0941345215e+02,5.7361297607e+02,6.0085034180e+02,1.5235336832e-05,1.4340324014e-05,1.5021258150e-05
106,5.5621215820e+02,1.4485662714e+01,2.7450917154e+00,1.1395463052e-02,1.3905304210e-05,3.6214160873e-07,5.7018945312e+02,5.3625323486e+02,5.6219378662e+02,1.4254736925e-05,1.3406331163e-05,1.4054844542e-05
107,5.2032025146e+02,1.3731013037e+01,2.7161179532e+00,1.1548793554e-02,1.3008006439e-05,3.4327559256e-07,5.3352105713e+02,5.0138635254e+02,5.2605334473e+02,1.3338027202e-05,1.2534658708e-05,1.3151333405e-05
108,4.8677404785e+02,1.3035526722e+01,2.6871700573e+00,1.1721354625e-02,1.2169351370e-05,3.2588824078e-07,4.9926925659e+02,4.6878805542e+02,4.9226483154e+02,1.2481731574e-05,1.1719701433e-05,1.2306621102e-05
109,4.5542958577e+02,1.2358310105e+01,2.6582596329e+00,1.1879178510e-02,1.1385739526e-05,3.0895778705e-07,4.6723342896e+02,4.3836550903e+02,4.6068981934e+02,1.1680835087e-05,1.0959137398e-05,1.1517246094e-05
110,4.2612725830e+02,1.1716653311e+01,2.6293733528e+00,1.2038875832e-02,1.0653181562e-05,2.9291637182e-07,4.3727764893e+02,4.0993737793e+02,4.3116674805e+02,1.0931941688e-05,1.0248434592e-05,1.0779168406e-05
