step,loss_mean,loss_std,log10_loss_mean,log10_loss_std,qy_mean,qy_std,loss_replica_1,loss_replica_2,loss_replica_3,loss_replica_4,loss_replica_5,qy_replica_1,qy_replica_2,qy_replica_3,qy_replica_4,qy_replica_5
71,2.4570894241e+00,1.7702508644e-02,3.9040975468e-01,3.1157038792e-03,6.5562230349e-01,5.2284778174e-03,2.4495446682e+00,2.4497323036e+00,2.4397196770e+00,2.4554290771e+00,2.4910213947e+00,6.5810257196e-01,6.5317910910e-01,6.5566879511e-01,6.4768880606e-01,6.6347223520e-01
72,2.5911386967e+00,1.8975192177e-02,4.1347908391e-01,3.1662722836e-03,6.7173893452e-01,5.2538831059e-03,2.5821452141e+00,2.5841925144e+00,2.5730493069e+00,2.5885963440e+00,2.6277101040e+00,6.7405158281e-01,6.6933429241e-01,6.7185890675e-01,6.6376030445e-01,6.7968958616e-01
73,2.7277850628e+00,2.0236121550e-02,4.3579826999e-01,3.2069103258e-03,6.8716096878e-01,5.2744615023e-03,2.7170908451e+00,2.7213106155e+00,2.7092738152e+00,2.7242705822e+00,2.7669794559e+00,6.8930000067e-01,6.8478423357e-01,6.8736165762e-01,6.7915344238e-01,6.9520550966e-01
74,2.8667847157e+00,2.1476730267e-02,4.5738297100e-01,3.2379657885e-03,7.0189327002e-01,5.2905358592e-03,2.8541293144e+00,2.8608224392e+00,2.8481996059e+00,2.8622224331e+00,2.9085497856e+00,7.0385366678e-01,6.9953310490e-01,7.0218181610e-01,6.9387280941e-01,7.1002495289e-01
75,3.0078717709e+00,2.2692158826e-02,4.7824703949e-01,3.2603525383e-03,7.1594512463e-01,5.3025964667e-03,2.9929940701e+00,3.0024366379e+00,2.9896049500e+00,3.0022025108e+00,3.0521206856e+00,7.1772354841e-01,7.1358925104e-01,7.1632808447e-01,7.0792728662e-01,7.2415745258e-01
76,3.1507621765e+00,2.3879610008e-02,4.9840323257e-01,3.2751810490e-03,7.2932958603e-01,5.3108981364e-03,3.1334047318e+00,3.1458430290e+00,3.1332499981e+00,3.1439409256e+00,3.1973721981e+00,7.3092335463e-01,7.2696584463e-01,7.2981327772e-01,7.2132945061e-01,7.3761600256e-01
77,3.2951546192e+00,2.5042401014e-02,5.1786333878e-01,3.2842301218e-03,7.4206272364e-01,5.3159576234e-03,3.2750699520e+00,3.2907125950e+00,3.2788677216e+00,3.2871506214e+00,3.3439722061e+00,7.4347054958e-01,7.3967874050e-01,7.4265277386e-01,7.3409461975e-01,7.5041693449e-01
78,3.4407354832e+00,2.6185904298e-02,5.3663878976e-01,3.2892752387e-03,7.5416303873e-01,5.3180311883e-03,3.4176943302e+00,3.4367024899e+00,3.4261713028e+00,3.4315350056e+00,3.4915742874e+00,7.5538450480e-01,7.5174653530e-01,7.5486439466e-01,7.4624097347e-01,7.6257878542e-01
79,3.5871804237e+00,2.7321671672e-02,5.5474070125e-01,3.2925643767e-03,7.6565089226e-01,5.3176634375e-03,3.5609712601e+00,3.5834605694e+00,3.5748615265e+00,3.5767812729e+00,3.6398274899e+00,7.6668626070e-01,7.6319026947e-01,7.6646798849e-01,7.5778770447e-01,7.7412223816e-01
80,3.7341593742e+00,2.8464958546e-02,5.7218030361e-01,3.2964174336e-03,7.7654800415e-01,5.3152554706e-03,3.7045986652e+00,3.7306284904e+00,3.7246205807e+00,3.7225708961e+00,3.7883782387e+00,7.7739840746e-01,7.7403199673e-01,7.7748477459e-01,7.6875573397e-01,7.8506910801e-01
81,3.8813370228e+00,2.9633866211e-02,5.8896876148e-01,3.3031064980e-03,7.8687709570e-01,5.3110458556e-03,3.8482670784e+00,3.8778429031e+00,3.8751206398e+00,3.8685858250e+00,3.9368686676e+00,7.8754413128e-01,7.8429526091e-01,7.8793680668e-01,7.7916717529e-01,7.9544210434e-01
82,4.0283784389e+00,3.0851864484e-02,6.0511758223e-01,3.3151165719e-03,7.9666140079e-01,5.3055286282e-03,3.9916718006e+00,4.0247445107e+00,4.0260224342e+00,4.0145020485e+00,4.0849514008e+00,7.9714727402e-01,7.9400402308e-01,7.9784655571e-01,7.8904426098e-01,8.0526489019e-01
