lambda	t	m_w	m_x
3.	28	0.4051897369842731	0.4051897369842731
3.	29	0.4063998006893664	0.4063998006893664
3.	30	0.40736985162175804	0.40736985162175804
3.	31	0.4081471991614373	0.4081471991614373
3.	32	0.4087699362498277	0.4087699362498277
3.	33	0.409268694529738	0.409268694529738
3.	34	0.4096680804440728	0.4096680804440728
3.	35	0.40998784439372055	0.40998784439372055
3.	36	0.41024382895592576	0.41024382895592576
3.	37	0.4104487356764169	0.4104487356764169
3.	38	0.41061274375412576	0.41061274375412576
3.	39	0.41074400835279745	0.41074400835279745
3.	40	0.41084906141068356	0.41084906141068356
3.	41	0.41093313367956985	0.41093313367956985
3.	42	0.4110004132546219	0.4110004132546219
3.	43	0.4110542529806138	0.4110542529806138
3.	44	0.41109733675574534	0.41109733675574534
3.	45	0.41113181282222094	0.41113181282222094
3.	46	0.4111594005612729	0.4111594005612729
3.	47	0.41118147603657473	0.41118147603657473
3.	48	0.41119914050041023	0.41119914050041023
3.	49	0.41121327524650664	0.41121327524650664
3.	50	0.41122458552469787	0.41122458552469787
3.	51	0.41123363569478927	0.41123363569478927
3.	52	0.41124087736493475	0.41124087736493475
3.	53	0.41124667191301617	0.41124667191301617
3.	54	0.4112513085112991	0.4112513085112991
3.	55	0.411255018551564	0.411255018551564
3.	56	0.4112579871891307	0.4112579871891307
3.	57	0.41126036258095366	0.41126036258095366
3.	58	0.411262263278233	0.411262263278233
3.	59	0.41126378414210424	0.41126378414210424
3.	60	0.41126500107740294	0.41126500107740294
3.	61	0.4112659748206035	0.4112659748206035
3.	62	0.41126675397088336	0.41126675397088336
3.	63	0.4112673774155277	0.4112673774155277
3.	64	0.41126787627068423	0.41126787627068423
3.	65	0.4112682754343044	0.4112682754343044
3.	66	0.4112685948287619	0.4112685948287619
3.	67	0.41126885039515687	0.41126885039515687
3.	68	0.4112690548889246	0.4112690548889246
3.	69	0.4112692185164544	0.4112692185164544
3.	70	0.411269349444488	0.411269349444488
3.	71	0.4112694542077217	0.4112694542077217
3.	72	0.4112695380349542	0.4112695380349542
3.	73	0.4112696051100571	0.4112696051100571
3.	74	0.4112696587807938	0.4112696587807938
3.	75	0.4112697017259075	0.4112697017259075
3.	76	0.4112697360888187	0.4112697360888187
3.	77	0.41126976358460465	0.41126976358460465
3.	78	0.4112697855855996	0.4112697855855996
3.	79	0.4112698031898891	0.4112698031898891
3.	80	0.41126981727611595	0.41126981727611595
3.	81	0.41126982854733396	0.41126982854733396
3.	82	0.411269837566098	0.411269837566098
3.	83	0.4112698447825412	0.4112698447825412
3.	84	0.41126985055684145	0.41126985055684145
3.	85	0.41126985517719855	0.41126985517719855
3.	86	0.41126985887421774	0.41126985887421774
3.	87	0.41126986183242004	0.41126986183242004
3.	88	0.41126986419945155	0.41126986419945155
3.	89	0.4112698660934526	0.4112698660934526
3.	90	0.4112698676089541	0.4112698676089541
3.	91	0.41126986882159594	0.41126986882159594
3.	92	0.41126986979190194	0.41126986979190194
3.	93	0.41126987056830067	0.41126987056830067
3.	94	0.411269871189543	0.411269871189543
3.	95	0.41126987168663554	0.41126987168663554
3.	96	0.41126987208438853	0.41126987208438853
3.	97	0.41126987240265384	0.41126987240265384
3.	98	0.41126987265731674	0.41126987265731674
3.	99	0.4112698728610875	0.4112698728610875
3.	100	0.4112698730241364	0.4112698730241364
100.	0	0.01	0.01
100.	1	0.015748031496062992	0.015748031496062992
100.	2	0.024581121569196864	0.024581121569196864
100.	3	0.03785986397769539	0.03785986397769539
100.	4	0.05718783690797902	0.05718783690797902
100.	5	0.08407425271342545	0.08407425271342545
100.	6	0.1193018186717149	0.1193018186717149
100.	7	0.16221194999450475	0.16221194999450475
100.	8	0.21043830676375277	0.21043830676375277
100.	9	0.2605004717549395	0.2605004717549395
100.	10	0.30896094613932995	0.30896094613932995
100.	11	0.3533555054365976	0.3533555054365976
100.	12	0.3924513370451854	0.3924513370451854
100.	13	0.42599755636524433	0.42599755636524433
100.	14	0.45433010045785716	0.45433010045785716
100.	15	0.4780496323148253	0.4780496323148253
100.	16	0.4978231812886502	0.4978231812886502
100.	17	0.5142837420161979	0.5142837420161979
100.	18	0.5279896199907269	0.5279896199907269
100.	19	0.5394149845678001	0.5394149845678001
100.	20	0.5489546324889123	0.5489546324889123
100.	21	0.5569340269807354	0.5569340269807354
100.	22	0.5636203493233777	0.5636203493233777
100.	23	0.5692327491561443	0.5692327491561443
100.	24	0.5739511745214562	0.5739511745214562
100.	25	0.5779237034037761	0.5779237034037761
100.	26	0.5812725166433864	0.5812725166433864
100.	27	0.5840987191740832	0.5840987191740832
100.	28	0.5864862177159598	0.5864862177159598
100.	29	0.5885048390518488	0.5885048390518488
100.	30	0.590212842386301	0.590212842386301
100.	31	0.5916589498610174	0.5916589498610174
100.	32	0.5928839938836227	0.5928839938836227
100.	33	0.5939222590769674	0.5939222590769674
100.	34	0.5948025800196932	0.5948025800196932
100.	35	0.5955492428727999	0.5955492428727999
100.	36	0.5961827287884213	0.5961827287884213
100.	37	0.5967203290673461	0.5967203290673461
100.	38	0.5971766558665085	0.5971766558665085
100.	39	0.5975640674544611	0.5975640674544611
100.	40	0.5978930232578522	0.5978930232578522
100.	41	0.5981723809933978	0.5981723809933978
100.	42	0.5984096458528136	0.5984096458528136
100.	43	0.5986111798616509	0.5986111798616509
100.	44	0.5987823780594632	0.5987823780594632
100.	45	0.5989278169662692	0.5989278169662692
100.	46	0.5990513798460818	0.5990513798460818
100.	47	0.5991563625042211	0.5991563625042211
100.	48	0.5992455627240136	0.5992455627240136
100.	49	0.5993213559315043	0.5993213559315043
100.	50	0.5993857592514714	0.5993857592514714
100.	51	0.5994404857667288	0.5994404857667288
100.	52	0.5994869905014749	0.5994869905014749
100.	53	0.5995265094072696	0.5995265094072696
100.	54	0.599560092428241	0.599560092428241
100.	55	0.5995886315532564	0.5995886315532564
100.	56	0.5996128846212725	0.5996128846212725
100.	57	0.5996334955272731	0.5996334955272731
100.	58	0.5996510113762726	0.5996510113762726
100.	59	0.599665897048699	0.599665897048699
100.	60	0.5996785475694866	0.5996785475694866
100.	61	0.59968929861328	0.59968929861328
100.	62	0.5996984354275031	0.5996984354275031
100.	63	0.5997062004122129	0.5997062004122129
100.	64	0.5997127995593956	0.5997127995593956
100.	65	0.599718407923667	0.599718407923667
100.	66	0.5997231742703096	0.5997231742703096
100.	67	0.5997272250245332	0.5997272250245332
100.	68	0.5997306676271389	0.5997306676271389
100.	69	0.5997335933858945	0.5997335933858945
100.	70	0.5997360798984762	0.5997360798984762
100.	71	0.5997381931113953	0.5997381931113953
100.	72	0.599739989069635	0.599739989069635
100.	73	0.5997415154034814	0.5997415154034814
100.	74	0.5997428125920441	0.5997428125920441
100.	75	0.599743915037015	0.599743915037015
100.	76	0.599744851975179	0.599744851975179
100.	77	0.5997456482538939	0.5997456482538939
100.	78	0.5997463249901243	0.5997463249901243
100.	79	0.599746900130519	0.599746900130519
100.	80	0.599747388927391	0.599747388927391
100.	81	0.5997478043432316	0.5997478043432316
100.	82	0.5997481573944892	0.5997481573944892
100.	83	0.5997484574437328	0.5997484574437328
100.	84	0.5997487124479508	0.5997487124479508
100.	85	0.5997489291695703	0.5997489291695703
100.	86	0.5997491133557968	0.5997491133557968
100.	87	0.5997492698910271	0.5997492698910271
100.	88	0.5997494029263813	0.5997494029263813
100.	89	0.5997495159897884	0.5997495159897884
100.	90	0.5997496120795436	0.5997496120795436
100.	91	0.5997496937438207	0.5997496937438207
100.	92	0.5997497631482478	0.5997497631482478
100.	93	0.5997498221333365	0.5997498221333365
100.	94	0.5997498722632909	0.5997498722632909
100.	95	0.5997499148674886	0.5997499148674886
100.	96	0.5997499510757345	0.5997499510757345
100.	97	0.5997499818482204	0.5997499818482204
100.	98	0.5997500080009897	0.5997500080009897
100.	99	0.5997500302275773	0.5997500302275773
100.	100	0.5997500491174008	0.5997500491174008
