step,loss_mean,loss_std,log10_loss_mean,log10_loss_std,replica_1,replica_2,replica_3,replica_4,replica_5
85,5.7482497984e+01,1.1446663693e+02,8.4682530787e-03,1.2243142010e+00,2.6005116105e-01,2.4095091224e-01,2.5050568581e-01,2.4521067739e-01,2.8641577148e+02
86,5.7490603986e+01,1.1448307648e+02,8.3239644115e-03,1.2244167239e+00,2.5983718038e-01,2.4091427028e-01,2.5044691563e-01,2.4506497383e-01,2.8645675659e+02
87,5.7497626227e+01,1.1449763177e+02,7.9733271323e-03,1.2246212335e+00,2.5977888703e-01,2.4048589170e-01,2.5016060472e-01,2.4481634796e-01,2.8649288940e+02
88,5.7513698643e+01,1.1452972618e+02,8.0310501648e-03,1.2246538667e+00,2.5970718265e-01,2.4025733769e-01,2.5046151876e-01,2.4491654336e-01,2.8657315063e+02
89,5.7580190000e+01,1.1466228250e+02,8.4330286953e-03,1.2247025803e+00,2.5986123085e-01,2.4062947929e-01,2.5048279762e-01,2.4522185326e-01,2.8690475464e+02
90,5.7587415382e+01,1.1467694983e+02,8.2954490541e-03,1.2247981406e+00,2.5980699062e-01,2.4083104730e-01,2.5014886260e-01,2.4497531354e-01,2.8694131470e+02
91,5.7592252219e+01,1.1468696733e+02,8.0613134973e-03,1.2249346174e+00,2.5963932276e-01,2.4052822590e-01,2.5005260110e-01,2.4485442042e-01,2.8696618652e+02
92,5.7599829042e+01,1.1470255759e+02,7.7625275801e-03,1.2251152671e+00,2.5961726904e-01,2.4014338851e-01,2.4985677004e-01,2.4458393455e-01,2.8700494385e+02
93,5.7609491676e+01,1.1472162153e+02,7.9633470601e-03,1.2250496924e+00,2.5962674618e-01,2.4027262628e-01,2.4982525408e-01,2.4499937892e-01,2.8705273438e+02
94,5.7637801021e+01,1.1477820660e+02,8.0325522935e-03,1.2251210106e+00,2.5976756215e-01,2.4065664411e-01,2.4939335883e-01,2.4497367442e-01,2.8719421387e+02
95,5.7665037933e+01,1.1483313062e+02,7.7608143602e-03,1.2253599814e+00,2.5954577327e-01,2.4053581059e-01,2.4899138510e-01,2.4481786788e-01,2.8733129883e+02
96,5.7676562047e+01,1.1485739787e+02,6.9201557433e-03,1.2258275351e+00,2.5951239467e-01,2.4014067650e-01,2.4726380408e-01,2.4453593791e-01,2.8739135742e+02
97,5.7690880659e+01,1.1488714958e+02,6.1555474198e-03,1.2262672429e+00,2.5947609544e-01,2.3999130726e-01,2.4519176781e-01,2.4456468225e-01,2.8746517944e+02
98,5.7699500877e+01,1.1490624648e+02,4.8393890855e-03,1.2269689067e+00,2.5960579515e-01,2.4040293694e-01,2.4055141211e-01,2.4495083094e-01,2.8751199341e+02
99,5.7708408454e+01,1.1492701555e+02,2.6989946189e-03,1.2281006922e+00,2.5954219699e-01,2.4051044881e-01,2.3478573561e-01,2.4476492405e-01,2.8756243896e+02
100,5.7740598854e+01,1.1499498116e+02,7.4277417522e-05,1.2295838750e+00,2.5937259197e-01,2.4018570781e-01,2.2826051712e-01,2.4461515248e-01,2.8773056030e+02
101,5.7899663293e+01,1.1531617541e+02,-2.0295876132e-03,1.2312927931e+00,2.5939789414e-01,2.3985825479e-01,2.2275245190e-01,2.4429492652e-01,2.8853201294e+02
102,5.7924518162e+01,1.1535922863e+02,3.0392639584e-03,1.2287413580e+00,2.5940024853e-01,2.4005877972e-01,2.3548431695e-01,2.4467261136e-01,2.8864297485e+02
103,5.7928497246e+01,1.1536938518e+02,1.3976035535e-03,1.2296110825e+00,2.5952371955e-01,2.4040724337e-01,2.3053711653e-01,2.4475130439e-01,2.8866726685e+02
104,5.7947804803e+01,1.1540178443e+02,5.9893448244e-03,1.2273200062e+00,2.5928935409e-01,2.4020791054e-01,2.4354335666e-01,2.4461010098e-01,2.8875137329e+02
105,5.8001258400e+01,1.1550696986e+02,7.2830510851e-03,1.2268698565e+00,2.5928694010e-01,2.3984473944e-01,2.4766679108e-01,2.4429577589e-01,2.8901519775e+02
106,5.8027482933e+01,1.1551801671e+02,3.2340034073e-02,1.2153513803e+00,2.5927126408e-01,2.3975361884e-01,3.3061769605e-01,2.4426500499e-01,2.8906350708e+02
107,5.8146016127e+01,1.1546751014e+02,1.2018654880e-01,1.1905662671e+00,2.5937739015e-01,2.4019841850e-01,9.0535247326e-01,2.4467749894e-01,2.8908047485e+02
108,5.8827734938e+01,1.1516294059e+02,2.5470337266e-01,1.2025278356e+00,2.5930118561e-01,2.4022172391e-01,4.2619576454e+00,2.4456474185e-01,2.8913262939e+02
109,5.9061459786e+01,1.1509605939e+02,2.7414830482e-01,1.2094979268e+00,2.5913771987e-01,2.3988437653e-01,5.3441495895e+00,2.4440068007e-01,2.8921972656e+02
110,8.1255957463e+01,1.1337391284e+02,5.4135728680e-01,1.4114436054e+00,2.5920128822e-01,2.3960202932e-01,1.1602004242e+02,2.4403484166e-01,2.8951690674e+02
111,8.2384400073e+01,1.1374455622e+02,5.4568328303e-01,1.4157386881e+00,2.5918880105e-01,2.3985737562e-01,1.2165191650e+02,2.4436531961e-01,2.8952667236e+02
112,1.3168503414e+02,1.6288338211e+02,6.4207182321e-01,1.5287066616e+00,2.5929474831e-01,2.4017401040e-01,3.6812969971e+02,2.4451906979e-01,2.8955148315e+02
113,1.5250419376e+02,1.9521055480e+02,6.6349370531e-01,1.5564692784e+00,2.5905275345e-01,2.3991088569e-01,4.7218698120e+02,2.4441726506e-01,2.8959060669e+02
114,1.6353481308e+02,2.1364272485e+02,6.7285965066e-01,1.5691301589e+00,2.5908306241e-01,2.3957900703e-01,5.2730517578e+02,2.4406789243e-01,2.8962615967e+02
115,1.6724441563e+02,2.1996325669e+02,6.7582934957e-01,1.5731175534e+00,2.5907456875e-01,2.3952849209e-01,5.4572308350e+02,2.4398291111e-01,2.8975640869e+02
116,1.9111981911e+02,2.6209435750e+02,6.9339957081e-01,1.5956095818e+00,2.5915652514e-01,2.3999544978e-01,6.6481298828e+02,2.4438326061e-01,2.9004257202e+02
117,1.9137240445e+02,2.6254933304e+02,6.9350811064e-01,1.5958770825e+00,2.5907054543e-01,2.3994718492e-01,6.6607012939e+02,2.4435219169e-01,2.9004852295e+02
118,1.9364882071e+02,2.6667075988e+02,6.9475429716e-01,1.5980293014e+00,2.5892251730e-01,2.3960900307e-01,6.7744653320e+02,2.4419872463e-01,2.9005484009e+02
119,1.9958778559e+02,2.7748755429e+02,6.9827257704e-01,1.6031941777e+00,2.5901171565e-01,2.3936042190e-01,7.0713165283e+02,2.4377846718e-01,2.9006512451e+02
120,2.1559086720e+02,3.0702903624e+02,7.0778189234e-01,1.6155864987e+00,2.5897821784e-01,2.3965534568e-01,7.8714013672e+02,2.4406301975e-01,2.9007150269e+02
121,2.1582467118e+02,3.0746258853e+02,7.0811184356e-01,1.6155981215e+00,2.5906744599e-01,2.3993994296e-01,7.8830413818e+02,2.4425208569e-01,2.9007595825e+02
122,2.3373056195e+02,3.4105378256e+02,7.1725345853e-01,1.6284776946e+00,2.5883144140e-01,2.3963242769e-01,8.7783520508e+02,2.4422015250e-01,2.9007492065e+02
123,2.3383731708e+02,3.4125529103e+02,7.1708346751e-01,1.6287332099e+00,2.5889068842e-01,2.3933061957e-01,8.7836834717e+02,2.4384503067e-01,2.9007617188e+02
