step,loss_mean,loss_std,log10_loss_mean,log10_loss_std,mse_mean,mse_std,qy_mean,qy_std,loss_replica_1,loss_replica_2,loss_replica_3,mse_replica_1,mse_replica_2,mse_replica_3,qy_replica_1,qy_replica_2,qy_replica_3
55,2.0017261719e+04,2.0153013640e+02,4.3013827204e+00,4.3629783035e-03,5.0043153654e-04,5.0382531608e-06,2.4249424537e-01,2.2116864044e-03,2.0289498047e+04,1.9808087891e+04,1.9954199219e+04,5.0723744789e-04,4.9520219909e-04,4.9885496264e-04,2.4545319378e-01,2.4013681710e-01,2.4189272523e-01
56,1.8551341146e+04,1.9174117100e+02,4.2683521761e+00,4.4798278004e-03,4.6378352757e-04,4.7935355377e-06,2.4266552428e-01,2.2121488703e-03,1.8808236328e+04,1.8347722656e+04,1.8498064453e+04,4.7020590864e-04,4.5869304449e-04,4.6245162957e-04,2.4562412500e-01,2.4030564725e-01,2.4206680059e-01
57,1.7199594401e+04,1.8243029943e+02,4.2354938351e+00,4.5980829948e-03,4.2998985737e-04,4.5607507943e-06,2.4282950660e-01,2.2126279588e-03,1.7441986328e+04,1.7001875000e+04,1.7154921875e+04,4.3604965322e-04,4.2504689191e-04,4.2887302698e-04,2.4578778446e-01,2.4046717584e-01,2.4223355949e-01
58,1.5952517578e+04,1.7379194963e+02,4.2028035152e+00,4.7236647459e-03,3.9881294166e-04,4.3448026448e-06,2.4298651516e-01,2.2130891661e-03,1.6181457031e+04,1.5760617188e+04,1.5915478516e+04,4.0453643305e-04,3.9401542745e-04,3.9788696449e-04,2.4594448507e-01,2.4062183499e-01,2.4239322543e-01
59,1.4801137695e+04,1.6545431364e+02,4.1702680162e+00,4.8478153188e-03,3.7002843843e-04,4.1363649836e-06,2.4313694735e-01,2.2135495067e-03,1.5017199219e+04,1.4615320312e+04,1.4770893555e+04,3.7542998325e-04,3.6538299173e-04,3.6927234032e-04,2.4609464407e-01,2.4076999724e-01,2.4254620075e-01
60,1.3737913737e+04,1.5767331136e+02,4.1378922278e+00,4.9783655778e-03,3.4344784217e-04,3.9418338125e-06,2.4328110615e-01,2.2140074444e-03,1.3942010742e+04,1.3558085938e+04,1.3713644531e+04,3.4855026752e-04,3.3895214438e-04,3.4284111462e-04,2.4623855948e-01,2.4091196060e-01,2.4269279838e-01
61,1.2755276693e+04,1.5027796146e+02,4.1056597837e+00,5.1114347274e-03,3.1888191976e-04,3.7569521761e-06,2.4341930449e-01,2.2144828114e-03,1.2948095703e+04,1.2581466797e+04,1.2736267578e+04,3.2370240660e-04,3.1453667907e-04,3.1840667361e-04,2.4637654424e-01,2.4104796350e-01,2.4283340573e-01
62,1.1846814128e+04,1.4318497701e+02,4.0735698883e+00,5.2447414254e-03,2.9617034791e-04,3.5796316963e-06,2.4355181555e-01,2.2149701505e-03,1.2028905273e+04,1.1679054688e+04,1.1832482422e+04,3.0072263326e-04,2.9197635013e-04,2.9581206036e-04,2.4650888145e-01,2.4117831886e-01,2.4296824634e-01
63,1.1006470378e+04,1.3649362703e+02,4.0416147013e+00,5.3824739249e-03,2.7516175760e-04,3.4123460815e-06,2.4367891252e-01,2.2154202032e-03,1.1178557617e+04,1.0844695312e+04,1.0996158203e+04,2.7946394403e-04,2.7111737290e-04,2.7490395587e-04,2.4663577974e-01,2.4130335450e-01,2.4309760332e-01
64,1.0228818685e+04,1.3005660252e+02,4.0097903944e+00,5.5196992870e-03,2.5572046676e-04,3.2514138791e-06,2.4380089839e-01,2.2159071750e-03,1.0391381836e+04,1.0073025391e+04,1.0222048828e+04,2.5978454505e-04,2.5182563695e-04,2.5555121829e-04,2.4675764143e-01,2.4142329395e-01,2.4322175980e-01
65,9.5089309896e+03,1.2399934525e+02,3.9780947793e+00,5.6622389134e-03,2.3772327889e-04,3.0999880786e-06,2.4391792218e-01,2.2163632230e-03,9.6625957031e+03,9.3589267578e+03,9.5052705078e+03,2.4156490690e-04,2.3397317273e-04,2.3763175705e-04,2.4687452614e-01,2.4153836071e-01,2.4334087968e-01
66,8.8421090495e+03,1.1823428814e+02,3.9465170394e+00,5.8073550612e-03,2.2105272607e-04,2.9558605592e-06,2.4403030177e-01,2.2168388184e-03,8.9874179688e+03,8.6978095703e+03,8.8410996094e+03,2.2468545649e-04,2.1744523838e-04,2.2102748335e-04,2.4698680639e-01,2.4164879322e-01,2.4345530570e-01
67,8.2242718099e+03,1.1266248838e+02,3.9150566938e+00,5.9506519363e-03,2.0560679453e-04,2.8165628407e-06,2.4413822095e-01,2.2173125358e-03,8.3615869141e+03,8.0856308594e+03,8.2255976562e+03,2.0903967379e-04,2.0214077085e-04,2.0563993894e-04,2.4709464610e-01,2.4175481498e-01,2.4356520176e-01
68,7.6516023763e+03,1.0740460602e+02,3.8837095829e+00,6.0988228541e-03,1.9129006250e-04,2.6851132392e-06,2.4424183369e-01,2.2177669657e-03,7.7814316406e+03,7.5184096680e+03,7.6549658203e+03,1.9453579444e-04,1.8796024960e-04,1.9137414347e-04,2.4719817936e-01,2.4185660481e-01,2.4367071688e-01
69,7.1206018880e+03,1.0233949094e+02,3.8524718118e+00,6.2458442653e-03,1.7801504873e-04,2.5584841020e-06,2.4434138834e-01,2.2182473043e-03,7.2433486328e+03,6.9928208008e+03,7.1256362305e+03,1.8108371296e-04,1.7482052499e-04,1.7814090825e-04,2.4729770422e-01,2.4195434153e-01,2.4377211928e-01
70,6.6280393880e+03,9.7525157798e+01,3.8213380138e+00,6.3957052856e-03,1.6570098524e-04,2.4381315390e-06,2.4443704387e-01,2.2186870357e-03,6.7440849609e+03,6.5054658203e+03,6.6345673828e+03,1.6860212781e-04,1.6263664293e-04,1.6586418496e-04,2.4739329517e-01,2.4204826355e-01,2.4386957288e-01
71,6.1709674479e+03,9.2933579794e+01,3.7903039372e+00,6.5473382834e-03,1.5427418596e-04,2.3233405685e-06,2.4452897906e-01,2.2191540849e-03,6.2807270508e+03,6.0534809570e+03,6.1786943359e+03,1.5701817756e-04,1.5133702254e-04,1.5446735779e-04,2.4748520553e-01,2.4213844538e-01,2.4396328628e-01
72,5.7466704102e+03,8.8551468278e+01,3.7593646423e+00,6.7006178562e-03,1.4366675653e-04,2.2137823942e-06,2.4461737772e-01,2.2196226240e-03,5.8504750977e+03,5.6341010742e+03,5.7554350586e+03,1.4626186749e-04,1.4085252769e-04,1.4388587442e-04,2.4757361412e-01,2.4222515523e-01,2.4405336380e-01
73,5.3527833659e+03,8.4367216619e+01,3.7285256169e+00,6.8552027142e-03,1.3381959191e-04,2.1091807164e-06,2.4470234414e-01,2.2200808806e-03,5.4509497070e+03,5.2449697266e+03,5.3624306641e+03,1.3627375301e-04,1.3112425222e-04,1.3406077051e-04,2.4765859544e-01,2.4230848253e-01,2.4413995445e-01
74,4.9868660482e+03,8.0367829272e+01,3.6977711780e+00,7.0108426951e-03,1.2467164682e-04,2.0091977482e-06,2.4478407701e-01,2.2205275302e-03,5.0797094727e+03,4.8836679688e+03,4.9972207031e+03,1.2699273066e-04,1.2209168926e-04,1.2493052054e-04,2.4774034321e-01,2.4238862097e-01,2.4422326684e-01
75,4.6469327799e+03,7.6542462642e+01,3.6671073270e+00,7.1670129879e-03,1.1617331620e-04,1.9135617432e-06,2.4486267567e-01,2.2209678765e-03,4.7347597656e+03,4.5482202148e+03,4.6578183594e+03,1.1836898921e-04,1.1370550055e-04,1.1644545884e-04,2.4781896174e-01,2.4246565998e-01,2.4430340528e-01
76,4.3310100911e+03,7.2903416211e+01,3.6365274968e+00,7.3256539241e-03,1.0827525208e-04,1.8225856559e-06,2.4493828913e-01,2.2214138449e-03,4.4141152344e+03,4.2366132812e+03,4.3423017578e+03,1.1035287753e-04,1.0591532919e-04,1.0855754954e-04,2.4789461493e-01,2.4253973365e-01,2.4438051879e-01
