step,loss_mean,loss_std,log10_loss_mean,log10_loss_std,clean_loss_mean,clean_loss_std,log10_clean_loss_mean,log10_clean_loss_std,cosine_similarity_mean,cosine_similarity_std,loss_replica_1,clean_loss_replica_1,cosine_similarity_replica_1
67,8.2298016548e+04,0.0000000000e+00,4.9153893685e+00,0.0000000000e+00,8.2298016548e+04,0.0000000000e+00,4.9153893685e+00,0.0000000000e+00,7.7972334623e-01,0.0000000000e+00,8.2298016548e+04,8.2298016548e+04,7.7972334623e-01
68,8.6518275738e+04,0.0000000000e+00,4.9371078556e+00,0.0000000000e+00,8.6518281698e+04,0.0000000000e+00,4.9371078855e+00,0.0000000000e+00,7.6556921005e-01,0.0000000000e+00,8.6518275738e+04,8.6518281698e+04,7.6556921005e-01
69,9.0569263697e+04,0.0000000000e+00,4.9569808371e+00,0.0000000000e+00,9.0569275618e+04,0.0000000000e+00,4.9569808942e+00,0.0000000000e+00,7.5164872408e-01,0.0000000000e+00,9.0569263697e+04,9.0569275618e+04,7.5164872408e-01
70,9.4439154863e+04,0.0000000000e+00,4.9751520919e+00,0.0000000000e+00,9.4439166784e+04,0.0000000000e+00,4.9751521467e+00,0.0000000000e+00,7.3802006245e-01,0.0000000000e+00,9.4439154863e+04,9.4439166784e+04,7.3802006245e-01
71,9.8119318485e+04,0.0000000000e+00,4.9917545230e+00,0.0000000000e+00,9.8119330406e+04,0.0000000000e+00,4.9917545758e+00,0.0000000000e+00,7.2473061085e-01,0.0000000000e+00,9.8119318485e+04,9.8119330406e+04,7.2473061085e-01
72,1.0160408020e+05,0.0000000000e+00,5.0069111486e+00,0.0000000000e+00,1.0160409212e+05,0.0000000000e+00,5.0069111996e+00,0.0000000000e+00,7.1181720495e-01,0.0000000000e+00,1.0160408020e+05,1.0160409212e+05,7.1181720495e-01
73,1.0489023924e+05,0.0000000000e+00,5.0207350760e+00,0.0000000000e+00,1.0489025116e+05,0.0000000000e+00,5.0207351253e+00,0.0000000000e+00,6.9930714369e-01,0.0000000000e+00,1.0489023924e+05,1.0489025116e+05,6.9930714369e-01
74,1.0797683001e+05,0.0000000000e+00,5.0333305733e+00,0.0000000000e+00,1.0797684193e+05,0.0000000000e+00,5.0333306212e+00,0.0000000000e+00,6.8721938133e-01,0.0000000000e+00,1.0797683001e+05,1.0797684193e+05,6.8721938133e-01
75,1.1086492538e+05,0.0000000000e+00,5.0447941690e+00,0.0000000000e+00,1.1086493731e+05,0.0000000000e+00,5.0447942157e+00,0.0000000000e+00,6.7556518316e-01,0.0000000000e+00,1.1086492538e+05,1.1086493731e+05,6.7556518316e-01
76,1.1355731487e+05,0.0000000000e+00,5.0552151148e+00,0.0000000000e+00,1.1355731487e+05,0.0000000000e+00,5.0552151148e+00,0.0000000000e+00,6.6434937716e-01,0.0000000000e+00,1.1355731487e+05,1.1355731487e+05,6.6434937716e-01
