step,loss_mean,loss_std,log10_loss_mean,log10_loss_std,qy_mean,qy_std,loss_replica_1,loss_replica_2,loss_replica_3,qy_replica_1,qy_replica_2,qy_replica_3
93,1.9904998144e+00,5.8298409759e-03,2.9896027688e-01,1.2729152624e-03,3.9267663912e-04,8.1960576913e-04,1.9926400185e+00,1.9825344086e+00,1.9963250160e+00,5.9315840190e-05,1.5207536053e-03,-4.0203952813e-04
94,1.9904222091e+00,5.9359418400e-03,2.9894327565e-01,1.2961635989e-03,3.9163286662e-04,8.1816846041e-04,1.9926400185e+00,1.9823015928e+00,1.9963250160e+00,5.9316211264e-05,1.5176212182e-03,-4.0203882963e-04
95,1.9903478622e+00,6.0377102519e-03,2.9892698638e-01,1.3184651264e-03,3.9037744379e-04,8.1644049119e-04,1.9926400185e+00,1.9820785522e+00,1.9963250160e+00,5.9316444094e-05,1.5138544841e-03,-4.0203859680e-04
96,1.9902773698e+00,6.1343076957e-03,2.9891153992e-01,1.3396357501e-03,3.8892005493e-04,8.1443396279e-04,1.9926400185e+00,1.9818670750e+00,1.9963250160e+00,5.9317011619e-05,1.5094806440e-03,-4.0203749086e-04
97,1.9902113676e+00,6.2248405267e-03,2.9889707587e-01,1.3594792324e-03,3.8727202264e-04,8.1216590633e-04,1.9926400185e+00,1.9816690683e+00,1.9963250160e+00,5.9317655541e-05,1.5045354376e-03,-4.0203702520e-04
98,1.9901499748e+00,6.3091242499e-03,2.9888362065e-01,1.3779547398e-03,3.8544666677e-04,8.0965469191e-04,1.9926400185e+00,1.9814848900e+00,1.9963250160e+00,5.9318084823e-05,1.4990587952e-03,-4.0203687968e-04
99,1.9900934299e+00,6.3868127309e-03,2.9887122681e-01,1.3949860147e-03,3.8345896974e-04,8.0692042809e-04,1.9926400185e+00,1.9813152552e+00,1.9963250160e+00,5.9318397689e-05,1.4930948382e-03,-4.0203632670e-04
100,1.9900418917e+00,6.4576707088e-03,2.9885992946e-01,1.4105211129e-03,3.8132539824e-04,8.0398643495e-04,1.9926400185e+00,1.9811606407e+00,1.9963250160e+00,5.9318750573e-05,1.4866936253e-03,-4.0203618119e-04
101,1.9899951220e+00,6.5220115059e-03,2.9884967660e-01,1.4246283927e-03,3.7906372503e-04,8.0087668228e-04,1.9926400185e+00,1.9810203314e+00,1.9963250160e+00,5.9319376305e-05,1.4799076598e-03,-4.0203586104e-04
102,1.9899528027e+00,6.5799810406e-03,2.9884039894e-01,1.4373397742e-03,3.7669188290e-04,7.9761626562e-04,1.9926400185e+00,1.9808937311e+00,1.9963246584e+00,5.9319649154e-05,1.4727913076e-03,-4.0203530807e-04
103,1.9899149338e+00,6.6323149820e-03,2.9883209614e-01,1.4488157363e-03,3.7422892638e-04,7.9423145546e-04,1.9926400185e+00,1.9807798862e+00,1.9963248968e+00,5.9319922002e-05,1.4654016122e-03,-4.0203475510e-04
104,1.9898809195e+00,6.6791737520e-03,2.9882463815e-01,1.4590917640e-03,3.7169399366e-04,7.9074866505e-04,1.9926400185e+00,1.9806778431e+00,1.9963248968e+00,5.9320391301e-05,1.4577959664e-03,-4.0203437675e-04
105,1.9898506403e+00,6.7209946618e-03,2.9881799875e-01,1.4682633630e-03,3.6910677712e-04,7.8719521023e-04,1.9926400185e+00,1.9805868864e+00,1.9963250160e+00,5.9320820583e-05,1.4500337420e-03,-4.0203423123e-04
