step,loss_mean,loss_std,log10_loss_mean,log10_loss_std,qy_mean,qy_std,loss_replica_1,loss_replica_2,loss_replica_3,qy_replica_1,qy_replica_2,qy_replica_3
90,1.0289829254e+06,1.0544765687e+04,6.0123853892e+00,4.4468845495e-03,8.5660602649e-01,2.4874670297e-03,1.0167211533e+06,1.0277636528e+06,1.0424639702e+06,8.5642462969e-01,8.5365426540e-01,8.5973918438e-01
91,1.0555101395e+06,1.1532381648e+04,6.0234365275e+00,4.7395732916e-03,8.6246818304e-01,2.5875361565e-03,1.0423392296e+06,1.0537655830e+06,1.0704256058e+06,8.6218833923e-01,8.5944831371e-01,8.6576789618e-01
92,1.0814492226e+06,1.2526382081e+04,6.0339770569e+00,5.0229331344e-03,8.6800167958e-01,2.6874738408e-03,1.0673894882e+06,1.0791459084e+06,1.0978122711e+06,8.6762720346e-01,8.6491346359e-01,8.7146437168e-01
93,1.1067598979e+06,1.3519448507e+04,6.0440210915e+00,5.2954204664e-03,8.7322413921e-01,2.7864615699e-03,1.0918363571e+06,1.1038713455e+06,1.1245719910e+06,8.7275904417e-01,8.7006783485e-01,8.7684553862e-01
94,1.1314077695e+06,1.4504900379e+04,6.0535835684e+00,5.5558605322e-03,8.7815272808e-01,2.8837635395e-03,1.1156482697e+06,1.1279157639e+06,1.1506592751e+06,8.7760061026e-01,8.7492942810e-01,8.8192814589e-01
95,1.1553636233e+06,1.5475583988e+04,6.0626798571e+00,5.8029711966e-03,8.8280373812e-01,2.9789104181e-03,1.1387992859e+06,1.1512579918e+06,1.1760335922e+06,8.8216817379e-01,8.7951487303e-01,8.8672816753e-01
96,1.1786022822e+06,1.6424998161e+04,6.0713252586e+00,6.0357794456e-03,8.8719230890e-01,3.0711836498e-03,1.1612660408e+06,1.1738815308e+06,1.2006592751e+06,8.8647663593e-01,8.8384014368e-01,8.9126014709e-01
97,1.2011048635e+06,1.7347379398e+04,6.0795358108e+00,6.2535905630e-03,8.9133344094e-01,3.1604392386e-03,1.1830309868e+06,1.1957752228e+06,1.2245083809e+06,8.9054089785e-01,8.8792032003e-01,8.9553910494e-01
98,1.2228581111e+06,1.8236864949e+04,6.0873279830e+00,6.4556605203e-03,8.9524104198e-01,3.2462762633e-03,1.2040817261e+06,1.2169342041e+06,1.2475584030e+06,8.9437472820e-01,8.9176976681e-01,8.9957863092e-01
99,1.2438525836e+06,1.9088690408e+04,6.0947180091e+00,6.6416098656e-03,8.9892820517e-01,3.3283606872e-03,1.2244089127e+06,1.2373563766e+06,1.2697924614e+06,8.9799094200e-01,8.9540207386e-01,9.0339159966e-01
100,1.2640853246e+06,1.9898889696e+04,6.1017228446e+00,6.8112713374e-03,9.0240760644e-01,3.4065365913e-03,1.2440085411e+06,1.2570462227e+06,1.2912012100e+06,9.0140217543e-01,8.9883005619e-01,9.0699058771e-01
101,1.2835576375e+06,2.0663566872e+04,6.1083593884e+00,6.9644292391e-03,9.0569128593e-01,3.4804342504e-03,1.2628814697e+06,1.2760114670e+06,1.3117799759e+06,9.0462034941e-01,9.0206623077e-01,9.1038727760e-01
102,1.3022761027e+06,2.1381072949e+04,6.1146448520e+00,7.1015340873e-03,9.0879052877e-01,3.5502220200e-03,1.2810322762e+06,1.2942633629e+06,1.3315326691e+06,9.0765631199e-01,9.0512192249e-01,9.1359335184e-01
103,1.3202512105e+06,2.2049497299e+04,6.1205963437e+00,7.2228454424e-03,9.1171614329e-01,3.6158424745e-03,1.2984695435e+06,1.3118174553e+06,1.3504666328e+06,9.1052103043e-01,9.0800786018e-01,9.1661953926e-01
104,1.3374980291e+06,2.2667473569e+04,6.1262311370e+00,7.3286971643e-03,9.1447838147e-01,3.6770369655e-03,1.3152070045e+06,1.3286922455e+06,1.3685948372e+06,9.1322457790e-01,9.1073471308e-01,9.1947585344e-01
105,1.3540350278e+06,2.3235850780e+04,6.1315663263e+00,7.4200342646e-03,9.1708687941e-01,3.7340608050e-03,1.3312601089e+06,1.3449082375e+06,1.3859367371e+06,9.1577649117e-01,9.1331183910e-01,9.2217230797e-01
106,1.3698843002e+06,2.3755165376e+04,6.1366189766e+00,7.4975839119e-03,9.1955097516e-01,3.7868387771e-03,1.3466487885e+06,1.3604890823e+06,1.4025150299e+06,9.1818577051e-01,9.1574889421e-01,9.2471826077e-01
107,1.3850709915e+06,2.4227141833e+04,6.1414059935e+00,7.5623446254e-03,9.2187947035e-01,3.8353924526e-03,1.3613949776e+06,1.3754610062e+06,1.4183569908e+06,9.2046129704e-01,9.1805458069e-01,9.2712253332e-01
108,1.3996221542e+06,2.4654271379e+04,6.1459438361e+00,7.6154451525e-03,9.2408063014e-01,3.8802105699e-03,1.3755242348e+06,1.3898487091e+06,1.4334935188e+06,9.2261117697e-01,9.2023664713e-01,9.2939406633e-01
109,1.4135673523e+06,2.5039183540e+04,6.1502487836e+00,7.6579653704e-03,9.2616224289e-01,3.9210227756e-03,1.3890627861e+06,1.4036817551e+06,1.4479575157e+06,9.2464321852e-01,9.2230319977e-01,9.3154031038e-01
110,1.4269374212e+06,2.5385638983e+04,6.1543366155e+00,7.6912382110e-03,9.2813187838e-01,3.9583489247e-03,1.4020389557e+06,1.4169880867e+06,1.4617852211e+06,9.2656457424e-01,9.2426145077e-01,9.3356961012e-01
111,1.4397646904e+06,2.5697263671e+04,6.1582227587e+00,7.7164718391e-03,9.2999655008e-01,3.9921350299e-03,1.4144827843e+06,1.4297971725e+06,1.4750141144e+06,9.2838239670e-01,9.2611837387e-01,9.3548887968e-01
