step,loss_mean,loss_std,log10_loss_mean,log10_loss_std,mse_mean,mse_std,cosine_similarity_mean,cosine_similarity_std,loss_replica_1,mse_replica_1,cosine_similarity_replica_1
405,1.5884107971e+02,0.0000000000e+00,2.2009628305e+00,0.0000000000e+00,1.5884108543e+00,0.0000000000e+00,3.4883219749e-02,0.0000000000e+00,1.5884107971e+02,1.5884108543e+00,3.4883219749e-02
410,1.5839303589e+02,0.0000000000e+00,2.1997360829e+00,0.0000000000e+00,1.5839303732e+00,0.0000000000e+00,3.5320475698e-02,0.0000000000e+00,1.5839303589e+02,1.5839303732e+00,3.5320475698e-02
415,1.5795854187e+02,0.0000000000e+00,2.1985431161e+00,0.0000000000e+00,1.5795855522e+00,0.0000000000e+00,3.5729285330e-02,0.0000000000e+00,1.5795854187e+02,1.5795855522e+00,3.5729285330e-02
420,1.5750950623e+02,0.0000000000e+00,2.1973067700e+00,0.0000000000e+00,1.5750950575e+00,0.0000000000e+00,3.6183986813e-02,0.0000000000e+00,1.5750950623e+02,1.5750950575e+00,3.6183986813e-02
425,1.5706440735e+02,0.0000000000e+00,2.1960777799e+00,0.0000000000e+00,1.5706441402e+00,0.0000000000e+00,3.6602187902e-02,0.0000000000e+00,1.5706440735e+02,1.5706441402e+00,3.6602187902e-02
430,1.5662362671e+02,0.0000000000e+00,2.1948572761e+00,0.0000000000e+00,1.5662362576e+00,0.0000000000e+00,3.7038758397e-02,0.0000000000e+00,1.5662362671e+02,1.5662362576e+00,3.7038758397e-02
435,1.5619239807e+02,0.0000000000e+00,2.1936598928e+00,0.0000000000e+00,1.5619240999e+00,0.0000000000e+00,3.7455845624e-02,0.0000000000e+00,1.5619239807e+02,1.5619240999e+00,3.7455845624e-02
440,1.5576293945e+02,0.0000000000e+00,2.1924641343e+00,0.0000000000e+00,1.5576292276e+00,0.0000000000e+00,3.7844553590e-02,0.0000000000e+00,1.5576293945e+02,1.5576292276e+00,3.7844553590e-02
445,1.5532366943e+02,0.0000000000e+00,2.1912376420e+00,0.0000000000e+00,1.5532367229e+00,0.0000000000e+00,3.8265969604e-02,0.0000000000e+00,1.5532366943e+02,1.5532367229e+00,3.8265969604e-02
450,1.5488122559e+02,0.0000000000e+00,2.1899987766e+00,0.0000000000e+00,1.5488122702e+00,0.0000000000e+00,3.8675367832e-02,0.0000000000e+00,1.5488122559e+02,1.5488122702e+00,3.8675367832e-02
455,1.5444236755e+02,0.0000000000e+00,2.1887664506e+00,0.0000000000e+00,1.5444235802e+00,0.0000000000e+00,3.9089288563e-02,0.0000000000e+00,1.5444236755e+02,1.5444235802e+00,3.9089288563e-02
460,1.5401513672e+02,0.0000000000e+00,2.1875634057e+00,0.0000000000e+00,1.5401513577e+00,0.0000000000e+00,3.9511978626e-02,0.0000000000e+00,1.5401513672e+02,1.5401513577e+00,3.9511978626e-02
465,1.5358679199e+02,0.0000000000e+00,2.1863538693e+00,0.0000000000e+00,1.5358679295e+00,0.0000000000e+00,3.9937395602e-02,0.0000000000e+00,1.5358679199e+02,1.5358679295e+00,3.9937395602e-02
470,1.5316183472e+02,0.0000000000e+00,2.1851505601e+00,0.0000000000e+00,1.5316184759e+00,0.0000000000e+00,4.0359340608e-02,0.0000000000e+00,1.5316183472e+02,1.5316184759e+00,4.0359340608e-02
475,1.5274415588e+02,0.0000000000e+00,2.1839646028e+00,0.0000000000e+00,1.5274416208e+00,0.0000000000e+00,4.0764037520e-02,0.0000000000e+00,1.5274415588e+02,1.5274416208e+00,4.0764037520e-02
480,1.5232518005e+02,0.0000000000e+00,2.1827717001e+00,0.0000000000e+00,1.5232516527e+00,0.0000000000e+00,4.1177257895e-02,0.0000000000e+00,1.5232518005e+02,1.5232516527e+00,4.1177257895e-02
485,1.5190803528e+02,0.0000000000e+00,2.1815807468e+00,0.0000000000e+00,1.5190804005e+00,0.0000000000e+00,4.1559331119e-02,0.0000000000e+00,1.5190803528e+02,1.5190804005e+00,4.1559331119e-02
490,1.5149301147e+02,0.0000000000e+00,2.1803925989e+00,0.0000000000e+00,1.5149301291e+00,0.0000000000e+00,4.1954338551e-02,0.0000000000e+00,1.5149301147e+02,1.5149301291e+00,4.1954338551e-02
495,1.5107472229e+02,0.0000000000e+00,2.1791918046e+00,0.0000000000e+00,1.5107471943e+00,0.0000000000e+00,4.2387105525e-02,0.0000000000e+00,1.5107472229e+02,1.5107471943e+00,4.2387105525e-02
500,1.5066522217e+02,0.0000000000e+00,2.1780130163e+00,0.0000000000e+00,1.5066522360e+00,0.0000000000e+00,4.2792309076e-02,0.0000000000e+00,1.5066522217e+02,1.5066522360e+00,4.2792309076e-02
505,1.5023512268e+02,0.0000000000e+00,2.1767714760e+00,0.0000000000e+00,1.5023512840e+00,0.0000000000e+00,4.3252404779e-02,0.0000000000e+00,1.5023512268e+02,1.5023512840e+00,4.3252404779e-02
